system,rank,power,rmax,efficiency,year,month,list_rank
"Roadrunner - BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband",1,2483.47,1105000.0,444.94195621449023,2009,6,33
Jaguar - Cray XT5 QC 2.3 GHz,2,6950.6,1059000.0,152.36094725635195,2009,6,33
JUGENE - Blue Gene/P Solution,3,2268.0,825500.0,363.9770723104056,2009,6,33
"Pleiades - SGI Altix ICE 8200EX, Xeon QC 3.0/2.66 GHz",4,2090.0,487005.0,233.01674641148324,2009,6,33
BlueGene/L - eServer Blue Gene Solution,5,2329.6,478200.0,205.2712912087912,2009,6,33
Blue Gene/P Solution,7,1260.0,458611.0,363.9769841269841,2009,6,33
"Ranger - SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",8,2000.0,433200.0,216.6,2009,6,33
Dawn - Blue Gene/P Solution,9,1134.0,415700.0,366.5784832451499,2009,6,33
"JUROPA - Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation",10,1549.0,274800.0,177.40477727566173,2009,6,33
Franklin - Cray XT4 QuadCore 2.3 GHz,11,1150.0,266300.0,231.56521739130434,2009,6,33
Jaguar - Cray XT4 QuadCore 2.1 GHz,12,1580.71,205000.0,129.68855767345053,2009,6,33
"Red Storm - Sandia/ Cray Red Storm, XT3/4, 2.4/2.2 GHz dual/quad core",13,2506.0,204200.0,81.48443735035914,2009,6,33
Shaheen - Blue Gene/P Solution,14,504.0,185171.0,367.40277777777777,2009,6,33
"GPC - iDataPlex, Xeon E55xx QC 2.53 GHz, GigE",16,869.4,168600.0,193.92684610075915,2009,6,33
"Encanto - SGI Altix ICE 8200, Xeon quad core 3.0 GHz",17,861.63,133200.0,154.59071759339855,2009,6,33
"EKA - Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband",18,786.0,132800.0,168.95674300254453,2009,6,33
"Jade - SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",20,608.18,128400.0,211.12170738925977,2009,6,33
Athena - Cray XT4 QuadCore 2.3 GHz,21,888.82,125128.0,140.77991044305932,2009,6,33
Blue Gene/P Solution,24,315.0,116013.0,368.2952380952381,2009,6,33
"Power 575, p6 4.7 GHz, Infiniband",25,1329.7,115900.0,87.1625178611717,2009,6,33
"Power 575, p6 4.7 GHz, Infiniband",26,1329.7,115900.0,87.1625178611717,2009,6,33
"Power 575, p6 4.7 GHz, Infiniband",27,1288.69,115900.0,89.93629189331801,2009,6,33
"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",29,442.0,106100.0,240.0452488687783,2009,6,33
"VIP - Power 575, p6 4.7 GHz, Infiniband",33,1073.99,98240.0,91.47198763489418,2009,6,33
Frontier2 BG/L - Blue Gene/P Solution,36,252.0,92960.0,368.8888888888889,2009,6,33
BGW - eServer Blue Gene Solution,37,448.0,91290.0,203.77232142857142,2009,6,33
Cray XT5 QC 2.3 GHz,39,588.9,90840.0,154.25369332654103,2009,6,33
"TSUBAME Grid Cluster with CompView TSUBASA - Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband",41,1103.0,87010.0,78.88485947416137,2009,6,33
"T2K Open Supercomputer (Todai Combined Cluster) - Hitachi Cluster Opteron QC 2.3 GHz, Myrinet 10G",42,638.6,82984.0,129.94675853429376,2009,6,33
New York Blue - eServer Blue Gene Solution,45,403.2,82161.0,203.77232142857144,2009,6,33
"Power 575, p6 4.7 GHz, Infiniband",46,859.19,78680.0,91.57462260966724,2009,6,33
"T2K Open Supercomputer - Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",47,671.8,77280.0,115.03423637987497,2009,6,33
Cray XT5 QC 2.3 GHz,48,481.0,76800.0,159.66735966735968,2009,6,33
Cray XT5/XT4 QC 2.3 GHz,49,520.8,76510.0,146.90860215053766,2009,6,33
ASC Purple - eServer pSeries p5 575 1.9 GHz,50,1992.96,75760.0,38.013808606294155,2009,6,33
"Power 575, p6 4.7 GHz, Infiniband",51,797.82,73060.0,91.5745406231982,2009,6,33
eServer Blue Gene Solution,52,358.4,73032.0,203.77232142857144,2009,6,33
"Power 575, p6 4.7 GHz, Infiniband",53,782.48,71656.0,91.5755035272467,2009,6,33
"MVS-100K - Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband",54,327.0,71280.0,217.9816513761468,2009,6,33
"Cerrillos - BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband",61,138.0,63250.0,458.3333333333333,2009,6,33
"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband",62,138.0,63250.0,458.3333333333333,2009,6,33
"Power 575, p6 4.7 GHz, Infiniband",63,675.08,61820.7,91.5753688451739,2009,6,33
"bluefire - Power 575, p6 4.7 GHz, Infiniband",64,649.51,59684.1,91.89096395744484,2009,6,33
"Plasma Simulator - Hitachi SR16000 Model L2, Power6 4.7Ghz, Infiniband",65,645.0,56650.0,87.82945736434108,2009,6,33
HLRB-II - Altix 4700 1.6 GHz,66,990.24,56520.0,57.07707222491517,2009,6,33
Jade - Cray XT4 QuadCore 2.1 GHz,67,418.97,56250.0,134.2578227558059,2009,6,33
"Power 575, p6 4.7 GHz, Infiniband",72,572.79,52810.0,92.19783864941776,2009,6,33
"UKMO B - Power 575, p6 4.7 GHz, Infiniband",73,562.6,51863.3,92.1850337717739,2009,6,33
